Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
24.0,40.0,10.0,10.0,0.16963254943360984,-0.0011017727965691518,-0.002036754747620634,0.008752622571118335,0.0012697038873923927,72.51867905623126,0.0007158594820153712
95.0,60.0,15.0,30.0,0.17279851503838006,0.0,-0.0018275586194567198,0.004494730321572364,0.0007040058756819605,81.16070304963196,0.0005797193074972522
40.0,60.0,15.0,30.0,0.17284529926866166,-0.0002043579374579052,-0.001783867407776941,0.0042526708471514,0.0007642221951401074,87.4563502518369,0.0006191980255791949
95.0,50.0,15.0,10.0,0.17861297227337933,0.0,-0.0018316088548993026,0.005568560416248647,0.00040280156398633804,96.31091642200577,0.0006879351172993573
40.0,50.0,15.0,10.0,0.17872144877076532,1.3832840190554363e-05,-0.0018611931037576246,0.006053362791013836,0.0004522447902896576,87.37921136581643,0.0006283633636180809
24.0,70.0,15.0,10.0,0.18441643270509095,-0.004356618250202863,-0.000595727049363571,0.00958287934961046,0.0006257115354817155,39.9164324315554,0.0010357142876637727
95.0,50.0,15.0,20.0,0.18454083846119376,0.0,-0.0021421768195460655,0.005317649093603549,0.0006837767229079389,93.43839922099083,0.0006674171372917806
40.0,50.0,15.0,20.0,0.18454083846119376,9.940974608733943e-06,-0.0021421768195460655,0.005317649093603549,0.0006837767229079389,93.43839922099083,0.0006674171372917806
24.0,70.0,15.0,20.0,0.18718941047232818,-0.004689570569037585,-0.0005882354120508819,0.009418404672245084,0.0004362172922307145,36.489410296826335,0.001035714286912588
95.0,50.0,10.0,30.0,0.187850202850303,0.0,-0.004510784267225981,-0.003649749555646037,0.004265549240023657,97.5845209611914,0.0006970322925799089
24.0,50.0,10.0,30.0,0.18858635200526538,-0.0007354946338754392,-0.00416089021890978,-0.0019691191255039042,0.004006344284386612,85.59675892550466,0.0007177235437622152
95.0,40.0,10.0,20.0,0.19086713395638097,0.0,-0.004211579196642841,0.002068097758457371,0.0038574131546773027,97.84712950598878,0.0006989080678999793
24.0,60.0,15.0,10.0,0.19101955326673573,-0.004136563537714191,-0.0007645615390559218,0.009656802675875414,0.000514834318356,45.11955239308029,0.001035714291882531
24.0,40.0,10.0,20.0,0.19105299091732472,-0.0002077163429090497,-0.00410509857329544,0.002534213508177674,0.0035960186804581684,90.11847980647802,0.0006944827099621627
24.0,70.0,15.0,30.0,0.19109578355400972,-0.004586460030222249,-0.0007417275713622011,0.009200385863198842,0.0003998212980697395,38.59578342643027,0.001071428572319556
95.0,40.0,3.0,10.0,0.192550141506589,0.0,-0.0204986724889053,-0.2097859237415308,0.07194452896348819,95.32185223097011,0.0006808703730784074
